rr,name,rule,n_filters,baseline_trades_train,baseline_wr_train_num,baseline_wr_train,baseline_evR_train,baseline_trades_test,baseline_wr_test_num,baseline_wr_test,baseline_evR_test,trades_train,wr_train_num,wr_train,delta_wr_train_pp,delta_wr_train,evR_train,delta_evR_train,trades_test,wr_test_num,wr_test,delta_wr_test_pp,delta_wr_test,evR_test,delta_evR_test
1.0,RR1_ret3_high50,ret_3_pct high50@0.0361298,1,324,48.148148148148145,"48,1%",-0.037037037037037146,139,47.482014388489205,"47,5%",-0.05035971223021596,162,45.67901234567901,"45,7%",-2.4691358024691326,"-2,5%",-0.08641975308641969,-0.04938271604938255,64,51.5625,"51,6%",4.080485611510795,"4,1%",0.03125,0.08160971223021596
1.0,RR1_volz_high50,vol_z high50@-0.285581,1,324,48.148148148148145,"48,1%",-0.037037037037037146,139,47.482014388489205,"47,5%",-0.05035971223021596,162,54.32098765432099,"54,3%",6.172839506172842,"6,2%",0.08641975308641969,0.12345679012345684,86,50.0,"50,0%",2.5179856115107953,"2,5%",0.0,0.05035971223021596
1.0,RR1_magap_high60,ma_gap_pct high60@1.31768,1,324,48.148148148148145,"48,1%",-0.037037037037037146,139,47.482014388489205,"47,5%",-0.05035971223021596,194,51.546391752577314,"51,5%",3.398243604429169,"3,4%",0.030927835051546282,0.06796487208858343,64,46.875,"46,9%",-0.6070143884892047,"-0,6%",-0.0625,-0.012140287769784042
1.0,RR1_ret3_high50__AND__slope_low80,ret_3_pct high50@0.0361298 AND slope_strength low80@0.27659,2,324,48.148148148148145,"48,1%",-0.037037037037037146,139,47.482014388489205,"47,5%",-0.05035971223021596,134,45.52238805970149,"45,5%",-2.625760088446654,"-2,6%",-0.08955223880597019,-0.05251520176893304,56,51.78571428571429,"51,8%",4.303699897225087,"4,3%",0.03571428571428581,0.08607399794450177
1.0,RR1_ret3_high50__AND__bodypct_high60,ret_3_pct high50@0.0361298 AND body_pct high60@0.178229,2,324,48.148148148148145,"48,1%",-0.037037037037037146,139,47.482014388489205,"47,5%",-0.05035971223021596,123,51.21951219512195,"51,2%",3.0713640469738053,"3,1%",0.024390243902439046,0.06142728093947619,45,53.333333333333336,"53,3%",5.851318944844131,"5,9%",0.06666666666666665,0.11702637889688261
1.5,RR1p5_ret3_high50,ret_3_pct high50@0.0372324,1,312,41.02564102564102,"41,0%",0.02564102564102566,134,40.298507462686565,"40,3%",0.007462686567164201,156,39.743589743589745,"39,7%",-1.2820512820512775,"-1,3%",-0.0064102564102562765,-0.03205128205128194,61,44.26229508196721,"44,3%",3.9637876192806445,"4,0%",0.10655737704918034,0.09909469048201613
1.5,RR1p5_volz_high50,vol_z high50@-0.292849,1,312,41.02564102564102,"41,0%",0.02564102564102566,134,40.298507462686565,"40,3%",0.007462686567164201,156,44.871794871794876,"44,9%",3.846153846153854,"3,8%",0.1217948717948718,0.09615384615384615,86,41.86046511627907,"41,9%",1.5619576535925077,"1,6%",0.04651162790697683,0.039048941339812626
1.5,RR1p5_magap_high60,ma_gap_pct high60@1.31327,1,312,41.02564102564102,"41,0%",0.02564102564102566,134,40.298507462686565,"40,3%",0.007462686567164201,187,43.31550802139038,"43,3%",2.2898669957493567,"2,3%",0.08288770053475958,0.05724667489373392,61,44.26229508196721,"44,3%",3.9637876192806445,"4,0%",0.10655737704918034,0.09909469048201613
1.5,RR1p5_ret3_high50__AND__slope_low80,ret_3_pct high50@0.0372324 AND slope_strength low80@0.274613,2,312,41.02564102564102,"41,0%",0.02564102564102566,134,40.298507462686565,"40,3%",0.007462686567164201,130,38.46153846153847,"38,5%",-2.564102564102555,"-2,6%",-0.038461538461538214,-0.06410256410256387,53,49.056603773584904,"49,1%",8.758096310898338,"8,8%",0.2264150943396227,0.2189524077724585
2.0,RR2_rsi_high60,rsi high60@60.0298,1,302,34.437086092715234,"34,4%",0.03311258278145701,130,35.38461538461539,"35,4%",0.06153846153846165,181,29.83425414364641,"29,8%",-4.602831949068822,"-4,6%",-0.10497237569060769,-0.1380849584720647,79,44.303797468354425,"44,3%",8.919182083739038,"8,9%",0.32911392405063267,0.267575462512171
