setup,rr,trades,wins,losses,win_rate_pct,win_rate_pct_num
PFR,1.0,453,216,237,"47,7%",47.682119205298015
PFR,1.5,436,176,260,"40,4%",40.36697247706422
PFR,2.0,423,145,278,"34,3%",34.2789598108747
