timeframe,setup,rr,feature_a,feature_b,bin_a,bin_b,trades,wins,losses,win_rate_pct_num,win_rate_pct
1h,PFR,1.0,sma8,range,2.0,3.0,34,22,12,64.70588235294117,"64,7%"
1h,PFR,1.0,range,rolling_high_20,3.0,2.0,34,22,12,64.70588235294117,"64,7%"
1h,PFR,1.0,sma8,range_pct,2.0,3.0,31,20,11,64.51612903225806,"64,5%"
1h,PFR,1.0,range_pct,rsi,3.0,3.0,31,20,11,64.51612903225806,"64,5%"
1h,PFR,1.0,range_pct,rolling_high_20,3.0,2.0,31,20,11,64.51612903225806,"64,5%"
1h,PFR,1.0,range_pct,pullback_from_new_high_pct,3.0,0.0,31,20,11,64.51612903225806,"64,5%"
1h,PFR,1.0,range_pct,context_pullback_pct,3.0,0.0,31,20,11,64.51612903225806,"64,5%"
1h,PFR,1.0,range,upper_wick_pct,3.0,3.0,45,29,16,64.44444444444444,"64,4%"
1h,PFR,1.0,vol_z,pullback_from_new_high_pct,3.0,0.0,42,27,15,64.28571428571429,"64,3%"
1h,PFR,1.0,vol_z,context_pullback_pct,3.0,0.0,42,27,15,64.28571428571429,"64,3%"
1h,PFR,1.0,sma80,body,2.0,2.0,36,23,13,63.888888888888886,"63,9%"
1h,PFR,1.0,ma_gap_pct,dist_to_low_n_pct,2.0,2.0,36,23,13,63.888888888888886,"63,9%"
1h,PFR,1.0,dist_to_sma80_pct,body,3.0,3.0,36,23,13,63.888888888888886,"63,9%"
1h,PFR,1.0,pos_in_range_n,bars_since_new_high,3.0,0.0,58,37,21,63.793103448275865,"63,8%"
1h,PFR,1.0,pos_in_range_n,context_bars_since_extreme,3.0,0.0,58,37,21,63.793103448275865,"63,8%"
1h,PFR,1.0,sma80,range,2.0,3.0,33,21,12,63.63636363636363,"63,6%"
1h,PFR,1.0,ma_gap_pct,body,3.0,3.0,33,21,12,63.63636363636363,"63,6%"
1h,PFR,1.0,dist_to_sma80_pct,range,2.0,3.0,33,21,12,63.63636363636363,"63,6%"
1h,PFR,1.0,slope_strength,atr,3.0,3.0,33,21,12,63.63636363636363,"63,6%"
1h,PFR,1.0,range,rolling_low_20,3.0,2.0,33,21,12,63.63636363636363,"63,6%"
1h,PFR,1.0,range,pullback_from_new_high_pct,3.0,0.0,33,21,12,63.63636363636363,"63,6%"
1h,PFR,1.0,range,context_pullback_pct,3.0,0.0,33,21,12,63.63636363636363,"63,6%"
1h,PFR,1.0,rsi,pullback_from_new_high_pct,0.0,2.0,33,21,12,63.63636363636363,"63,6%"
1h,PFR,1.0,rsi,context_pullback_pct,0.0,2.0,33,21,12,63.63636363636363,"63,6%"
1h,PFR,1.0,sma80,range_pct,2.0,3.0,30,19,11,63.33333333333333,"63,3%"
1h,PFR,1.0,dist_to_sma80_pct,dist_to_high_n_pct,1.0,0.0,30,19,11,63.33333333333333,"63,3%"
1h,PFR,1.0,slope_strength,vol_z,2.0,3.0,30,19,11,63.33333333333333,"63,3%"
1h,PFR,1.0,atr,clv,1.0,3.0,30,19,11,63.33333333333333,"63,3%"
1h,PFR,1.0,range_pct,rolling_low_20,3.0,2.0,30,19,11,63.33333333333333,"63,3%"
1h,PFR,1.0,range_pct,dist_to_low_n_pct,3.0,2.0,30,19,11,63.33333333333333,"63,3%"
