timeframe,setup,rr,feature,mode,pct,threshold,trades_train,win_rate_train_num,win_rate_train,delta_vs_base_train_num,delta_vs_base_train,trades_test,win_rate_test_num,win_rate_test,delta_vs_base_test_num,delta_vs_base_test
1h,PFR,1.0,pos_in_range_n,high,60,0.7573321188692018,201,48.258706467661696,"48,3%",-0.6965174129353215,"-0,7%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,10,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,15,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,20,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,25,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,30,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,40,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,50,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,60,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,10,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,15,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,20,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,25,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,30,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,40,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,50,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,60,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,pullback_from_new_high_pct,low,50,0.8093880904323836,168,45.23809523809524,"45,2%",-3.717128642501777,"-3,7%",61,44.26229508196721,"44,3%",0.21467603434816596,"0,2%"
