rr,name,rule,n_filters,baseline_trades_train,baseline_wr_train_num,baseline_wr_train,baseline_evR_train,baseline_trades_test,baseline_wr_test_num,baseline_wr_test,baseline_evR_test,trades_train,wr_train_num,wr_train,delta_wr_train_pp,delta_wr_train,evR_train,delta_evR_train,trades_test,wr_test_num,wr_test,delta_wr_test_pp,delta_wr_test,evR_test,delta_evR_test
1.0,RR1_ret3_high50,ret_3_pct high50@0.0371925,1,277,47.292418772563174,"47,3%",-0.054151624548736566,186,48.924731182795696,"48,9%",-0.021505376344086058,139,43.884892086330936,"43,9%",-3.407526686232238,"-3,4%",-0.12230215827338137,-0.0681505337246448,87,52.87356321839081,"52,9%",3.9488320355951103,"3,9%",0.05747126436781613,0.07897664071190219
1.0,RR1_volz_high50,vol_z high50@-0.290896,1,277,47.292418772563174,"47,3%",-0.054151624548736566,186,48.924731182795696,"48,9%",-0.021505376344086058,139,51.798561151079134,"51,8%",4.5061423785159604,"4,5%",0.03597122302158273,0.0901228475703193,112,53.57142857142857,"53,6%",4.646697388632873,"4,6%",0.0714285714285714,0.09293394777265745
1.0,RR1_magap_high60,ma_gap_pct high60@1.32641,1,277,47.292418772563174,"47,3%",-0.054151624548736566,186,48.924731182795696,"48,9%",-0.021505376344086058,166,51.204819277108435,"51,2%",3.9124005045452606,"3,9%",0.024096385542168752,0.07824801009090532,91,49.45054945054945,"49,5%",0.5258182677537562,"0,5%",-0.01098901098901095,0.010516365355075108
1.5,RR1p5_ret3_high50,ret_3_pct high50@0.0372722,1,267,40.074906367041194,"40,1%",0.0018726591760299671,179,41.899441340782126,"41,9%",0.04748603351955305,134,38.059701492537314,"38,1%",-2.0152048745038798,"-2,0%",-0.04850746268656725,-0.050380121862597216,83,45.78313253012048,"45,8%",3.883691189338357,"3,9%",0.14457831325301218,0.09709227973345913
1.5,RR1p5_volz_high50,vol_z high50@-0.293428,1,267,40.074906367041194,"40,1%",0.0018726591760299671,179,41.899441340782126,"41,9%",0.04748603351955305,134,43.28358208955223,"43,3%",3.208675722511039,"3,2%",0.08208955223880576,0.0802168930627758,109,44.03669724770643,"44,0%",2.1372559069243025,"2,1%",0.10091743119266072,0.05343139767310767
1.5,RR1p5_magap_high60,ma_gap_pct high60@1.23228,1,267,40.074906367041194,"40,1%",0.0018726591760299671,179,41.899441340782126,"41,9%",0.04748603351955305,160,41.875,"41,9%",1.8000936329588058,"1,8%",0.046875,0.04500234082397003,97,46.391752577319586,"46,4%",4.492311236537461,"4,5%",0.15979381443298957,0.11230778091343652
2.0,RR2_rsi_high60,rsi high60@60.1445,1,259,34.36293436293436,"34,4%",0.030888030888030826,173,35.26011560693642,"35,3%",0.05780346820809246,155,29.677419354838708,"29,7%",-4.685515008095653,"-4,7%",-0.10967741935483877,-0.1405654502428696,102,42.15686274509804,"42,2%",6.896747138161622,"6,9%",0.26470588235294124,0.20690241414484878
2.0,RR2_pullback_atr_low50,pullback_from_new_high_atr low50@1.05693,1,259,34.36293436293436,"34,4%",0.030888030888030826,173,35.26011560693642,"35,3%",0.05780346820809246,130,30.76923076923077,"30,8%",-3.593703593703591,"-3,6%",-0.07692307692307687,-0.1078111078111077,95,43.15789473684211,"43,2%",7.897779129905693,"7,9%",0.2947368421052633,0.23693337389717084
2.0,RR2_ret3_high50,ret_3_pct high50@0.0393346,1,259,34.36293436293436,"34,4%",0.030888030888030826,173,35.26011560693642,"35,3%",0.05780346820809246,130,32.30769230769231,"32,3%",-2.0552420552420543,"-2,1%",-0.030769230769230882,-0.06165726165726171,79,37.9746835443038,"38,0%",2.7145679373673843,"2,7%",0.139240506329114,0.08143703812102154
2.0,RR2_volz_high50,vol_z high50@-0.333782,1,259,34.36293436293436,"34,4%",0.030888030888030826,173,35.26011560693642,"35,3%",0.05780346820809246,130,37.69230769230769,"37,7%",3.3293733293733325,"3,3%",0.13076923076923075,0.09988119988119992,108,36.11111111111111,"36,1%",0.8509955041746906,"0,9%",0.08333333333333315,0.02552986512524069
2.0,RR2_after_new_high_recent_flag_high50,after_new_high_recent_flag high50@1,1,259,34.36293436293436,"34,4%",0.030888030888030826,173,35.26011560693642,"35,3%",0.05780346820809246,174,27.586206896551722,"27,6%",-6.7767274663826385,"-6,8%",-0.1724137931034483,-0.2033018239914791,112,34.82142857142857,"34,8%",-0.43868703550784716,"-0,4%",0.044642857142857095,-0.013160611065235361
